,original_title
957,Last of the Redmen
958,The Long Night
959,The Macomber Affair
960,The Marauders
961,Miracle on 34th Street
962,Monsieur Verdoux
963,A Mouse in the House
964,My Favorite Brunette
965,Nightmare Alley
966,The October Man
967,Out of the Past
968,The Paradine Case
969,A Pest in the House
970,Possessed
971,The Prairie
972,Pursued
973,Ramrod
974,The Red House
975,Ride the Pink Horse
976,Road to Rio
977,Seven Were Saved
978,Slick Hare
979,Smash-Up: The Story of a Woman
980,So Well Remembered
981,Tarzan and the Huntress
982,They Made Me a Fugitive
983,They Won't Believe Me
984,The Trap
985,The Upturned Glass
986,The Web
987,Whispering City
988,The Woman on the Beach
989,3 Godfathers
990,A-Lad-in His Lamp
991,Aag
992,Bud Abbott Lou Costello Meet Frankenstein
993,The Accused
994,Adventures of Don Juan
995,Assigned to Danger
996,B.F.'s Daughter
997,Berlin Express
998,Bodyguard
999,Buccaneer Bunny
1000,Bugs Bunny Rides Again
1001,Call Northside 777
1002,Cry of the City
1003,The Dude Goes West
1004,The Emperor Waltz
1005,Fighting Father Dunne
1006,The Foghorn Leghorn
1007,A Foreign Affair
1008,Fort Apache
1009,Gorilla My Dreams
1010,Haredevil Hare
1011,He Walked by Night
1012,I Remember Mama
1013,Key Largo
1014,Kitty Foiled
1015,Ladri di biciclette
1016,The Lady from Shanghai
1017,Letter from an Unknown Woman
1018,Loaded Pistols
1019,Mark of the Lash
1020,Mexican Hayride
1021,Moonrise
1022,Mouse Cleaning
1023,Mr. Blandings Builds His Dream House
1024,Mr. Peabody and the Mermaid
1025,My Brother Jonathan
1026,My Dear Secretary
1027,No Orchids for Miss Blandish
1028,Old Rockin' Chair Tom
1029,On Our Merry Way
1030,The Paleface
1031,The Pirate
1032,Red River
1033,The Red Shoes
1034,The Return of the Whistler
1035,Romance on the High Seas
1036,Rope
1037,Ruthless
1038,Saigon
1039,The Shanghai Chest
1040,Shed No Tears
1041,Silver River
1042,Smart Girls Don't Talk
1043,The Snake Pit
1044,"Sorry, Wrong Number"
1045,Station West
1046,The Street with No Name
1047,The Stupor Salesman
1048,La terra trema
1049,That Lady in Ermine
1050,Thunderhoof
1051,The Treasure of the Sierra Madre
1052,The Truce Hurts
1053,Wake of the Red Witch
1054,Whiplash
1055,Lights Out
1056,"Abbott and Costello Meet the Killer, Boris Karloff"
1057,Act of Violence
1058,Aventurera
1059,Awful Orphan
1060,Bad Luck Blackie
1061,The Big Steal
1062,Black Hand
1063,'C'-Man
1064,Colorado Territory
1065,Criss Cross
1066,Daffy Duck Hunt
1067,Doggone Tired
1068,Dough for the Do-Do
1069,"East Side, West Side"
1070,Easy Living
1071,El Paso
1072,Fast and Furry-ous
1073,The File on Thelma Jordon
1074,Flamingo Road
1075,Flaxy Martin
1076,For Scent-imental Reasons
1077,The Fountainhead
1078,The Grey Hounded Hare
1079,The Heiress
1080,High Diving Hare
1081,The House of Tomorrow
1082,The Woman on Pier 13
1083,I Shot Jesse James
1084,Impact
1085,The Inspector General
1086,The Interrupted Journey
1087,Kind Hearts and Coronets
1088,Ladies of the Chorus
1089,A Letter to Three Wives
